Geneset.Name,Number.of.Genes,meta.p,bootstrap.p,BRCA,COAD,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,STAD,THCA
5-Hydroxytryptamine degredation,18,0.0088,0.0019,0.001996,0.027944,0.001996,0.001996,0.003992,0.003992,0.001996,0.003992,0.01996,0.145709,0.001996
5HT1 type receptor mediated signaling pathway,42,0.0153,0.0052,0.001996,0.001996,0.361277,0.001996,0.001996,0.253493,0.011976,0.001996,0.189621,0.00998,0.001996
5HT2 type receptor mediated signaling pathway,46,0.0094,0.0025,0.001996,0.001996,0.041916,0.001996,0.003992,0.011976,0.001996,0.001996,0.129741,0.003992,0.207585
5HT3 type receptor mediated signaling pathway,13,0.0611,0.0345,0.035928,0.015968,0.08982,0.001996,0.139721,0.99002,0.003992,0.001996,0.37525,0.52495,0.001996
a6b1 and a6b4 Integrin signaling,46,0.0153,0.0064,0.015968,0.007984,0.001996,0.001996,0.167665,0.323353,0.001996,0.001996,0.101796,0.011976,0.001996
Adrenaline and noradrenaline biosynthesis,27,0.0332,0.0159,0.001996,0.001996,0.295409,0.001996,0.057884,0.243513,0.033932,0.001996,0.369261,0.067864,0.077844
"Alanine,Aspartic acid and Asparagine metabolism",22,0.0107,0.0031,0.001996,0.001996,0.001996,0.001996,0.001996,0.017964,0.045908,0.023952,0.075848,0.011976,0.11976
ALK1 signaling events,26,0.0382,0.0194,0.001996,0.083832,0.0998,0.223553,0.267465,0.708583,0.001996,0.001996,0.526946,0.011976,0.281437
ALK2 signaling events,11,0.1285,0.1041,0.003992,0.00998,0.602794,0.403194,0.10978,0.710579,0.121756,0.287425,0.203593,0.005988,0.051896
Alpha-synuclein signaling,34,0.0188,0.0056,0.001996,0.001996,0.003992,0.001996,0.001996,0.790419,0.017964,0.001996,0.449102,0.321357,0.005988
Alpha adrenergic receptor signaling pathway,23,0.0167,0.0075,0.001996,0.001996,0.035928,0.007984,0.133733,0.001996,0.001996,0.001996,0.319361,0.037924,0.051896
Alpha4 beta1 integrin signaling events,34,0.0158,0.0061,0.001996,0.001996,0.037924,0.001996,0.153693,0.345309,0.001996,0.001996,0.031936,0.025948,0.011976
Alpha6 beta4 integrin-ligand interactions,11,0.0703,0.0494,0.131737,0.175649,0.001996,0.457086,0.161677,0.071856,0.005988,0.203593,0.279441,0.05988,0.421158
Alpha9 beta1 integrin signaling events,25,0.0375,0.0209,0.001996,0.001996,0.229541,0.001996,0.50499,0.217565,0.095808,0.083832,0.684631,0.0499,0.001996
Alzheimer disease-amyloid secretase pathway,63,0.0107,0.0034,0.001996,0.001996,0.155689,0.001996,0.003992,0.512974,0.025948,0.003992,0.011976,0.00998,0.021956
Alzheimer disease-presenilin pathway,111,0.0129,0.0032,0.001996,0.001996,0.003992,0.001996,0.005988,0.612774,0.00998,0.067864,0.011976,0.00998,0.001996
amb2 Integrin signaling,32,0.0432,0.0232,0.001996,0.139721,0.279441,0.091816,0.087824,0.896208,0.001996,0.001996,0.211577,0.145709,0.317365
Aminosugars metabolism,16,0.0461,0.0196,0.902196,0.449102,0.788423,0.001996,0.001996,0.175649,0.013972,0.005988,0.001996,0.139721,0.864271
Angiogenesis,152,0.0139,0.0056,0.001996,0.001996,0.065868,0.001996,0.01996,0.195609,0.00998,0.007984,0.155689,0.123752,0.02994
